outing_id,number,title,notes,tags,text_overlay,duration,date,pitcher,hitter,inning,score,runners_on_base,outs,balls,strikes,pitch_result,pitch_type,velocity_mph,bip_type,bip_result,non_bip_result,top_or_bottom_letter,top_of_frame,inning_num,pa_id
1,31,"Tonas, A. VS Knight, W.",Virginia Military Institute vs Georgetown University,,,13,,"Tonas, A.","Knight, W.",T9,5-9,-,2,3,1,BIP,Fastball,86,Fly Ball,Double,,T,1,9,7
1,32,"Tonas, A. VS Morris, Z.",Virginia Military Institute vs Georgetown University,,,5,,"Tonas, A.","Morris, Z.",T9,5-9,2B,2,0,0,Foul,Slider,77,,,,T,1,9,8
1,33,"Tonas, A. VS Morris, Z.",Virginia Military Institute vs Georgetown University,,,10,,"Tonas, A.","Morris, Z.",T9,5-9,2B,2,0,1,BIP,Changeup,80,Ground Ball,Groundout,,T,1,9,8
2,34,"Tonas, A. VS Dykstra, C.",Georgetown University vs George Mason University,,,4,,"Tonas, A.","Dykstra, C.",B9,5-3,1B,0,0,0,Strike Taken,Fastball,0,,,,B,0,9,1
2,35,"Tonas, A. VS Dykstra, C.",Georgetown University vs George Mason University,,,4,,"Tonas, A.","Dykstra, C.",B9,5-3,1B,0,0,1,Ball,Fastball,0,,,,B,0,9,1
2,36,"Tonas, A. VS Dykstra, C.",Georgetown University vs George Mason University,,,7,,"Tonas, A.","Dykstra, C.",B9,5-3,1B,0,1,1,Ball,Fastball,0,,,,B,0,9,1
2,37,"Tonas, A. VS Dykstra, C.",Georgetown University vs George Mason University,,,4,,"Tonas, A.","Dykstra, C.",B9,5-3,2B,0,2,1,Strike Taken,Changeup,0,,,,B,0,9,1
2,38,"Tonas, A. VS Dykstra, C.",Georgetown University vs George Mason University,,,4,,"Tonas, A.","Dykstra, C.",B9,5-3,2B,0,2,2,Foul,Changeup,0,,,,B,0,9,1
2,39,"Tonas, A. VS Dykstra, C.",Georgetown University vs George Mason University,,,4,,"Tonas, A.","Dykstra, C.",B9,5-3,2B,0,2,2,Foul,Fastball,0,,,,B,0,9,1
2,40,"Tonas, A. VS Dykstra, C.",Georgetown University vs George Mason University,,,4,,"Tonas, A.","Dykstra, C.",B9,5-3,2B,0,2,2,Ball,Fastball,0,,,,B,0,9,1
2,41,"Tonas, A. VS Dykstra, C.",Georgetown University vs George Mason University,,,6,,"Tonas, A.","Dykstra, C.",B9,5-3,2B,0,3,2,Ball,Fastball,0,,,Walk,B,0,9,1
2,42,"Tonas, A. VS Stallings, B.",Georgetown University vs George Mason University,,,4,,"Tonas, A.","Stallings, B.",B9,5-3,1B-3B,0,0,0,Strike Taken,Fastball,0,,,,B,0,9,2
2,43,"Tonas, A. VS Stallings, B.",Georgetown University vs George Mason University,,,4,,"Tonas, A.","Stallings, B.",B9,5-3,1B-3B,0,0,1,Ball,Fastball,0,,,,B,0,9,2
2,44,"Tonas, A. VS Stallings, B.",Georgetown University vs George Mason University,,,7,,"Tonas, A.","Stallings, B.",B9,5-3,1B-3B,0,1,1,BIP,Fastball,0,Bunt Ground Ball,Sacrifice Bunt,,B,0,9,2
2,45,"Tonas, A. VS Pracht, C.",Georgetown University vs George Mason University,,,4,,"Tonas, A.","Pracht, C.",B9,5-4,1B-2B,1,0,0,Strike Taken,Fastball,0,,,,B,0,9,3
2,46,"Tonas, A. VS Pracht, C.",Georgetown University vs George Mason University,,,4,,"Tonas, A.","Pracht, C.",B9,5-4,1B-2B,1,0,1,Strike Taken,Fastball,0,,,,B,0,9,3
2,47,"Tonas, A. VS Pracht, C.",Georgetown University vs George Mason University,,,4,,"Tonas, A.","Pracht, C.",B9,5-4,1B-2B,1,0,2,Ball,Fastball,0,,,,B,0,9,3
2,48,"Tonas, A. VS Pracht, C.",Georgetown University vs George Mason University,,,4,,"Tonas, A.","Pracht, C.",B9,5-4,1B-2B,1,1,2,Foul,Changeup,0,,,,B,0,9,3
2,49,"Tonas, A. VS Pracht, C.",Georgetown University vs George Mason University,,,13,,"Tonas, A.","Pracht, C.",B9,5-4,1B-2B,1,1,2,BIP,Changeup,0,Line Drive,Lineout,,B,0,9,3
3,50,"Tonas, A. VS Musser, K.",Cornell University vs Georgetown University,,,5,,"Tonas, A.","Musser, K.",T9,5-7,3B,2,0,0,Strike Taken,Fastball,0,,,,T,1,9,1
3,51,"Tonas, A. VS Musser, K.",Cornell University vs Georgetown University,,,5,,"Tonas, A.","Musser, K.",T9,5-7,3B,2,0,1,Ball,Fastball,0,,,,T,1,9,1
3,52,"Tonas, A. VS Musser, K.",Cornell University vs Georgetown University,,,5,,"Tonas, A.","Musser, K.",T9,5-7,3B,2,1,1,Strike Swinging,Fastball,0,,,,T,1,9,1
3,53,"Tonas, A. VS Musser, K.",Cornell University vs Georgetown University,,,6,,"Tonas, A.","Musser, K.",T9,5-7,3B,2,1,2,Foul,Slider,0,,,,T,1,9,1
3,54,"Tonas, A. VS Musser, K.",Cornell University vs Georgetown University,,,9,,"Tonas, A.","Musser, K.",T9,5-7,3B,2,1,2,BIP,Fastball,0,Line Drive,Single,,T,1,9,1
3,55,"Tonas, A. VS Diaz, E.",Cornell University vs Georgetown University,,,5,,"Tonas, A.","Diaz, E.",T9,6-7,1B,2,0,0,Ball,Changeup,0,,,,T,1,9,2
3,56,"Tonas, A. VS Diaz, E.",Cornell University vs Georgetown University,,,5,,"Tonas, A.","Diaz, E.",T9,6-7,1B,2,1,0,Ball,Slider,0,,,,T,1,9,2
3,57,"Tonas, A. VS Diaz, E.",Cornell University vs Georgetown University,,,5,,"Tonas, A.","Diaz, E.",T9,6-7,1B,2,2,0,Strike Swinging,Fastball,0,,,,T,1,9,2
3,58,"Tonas, A. VS Diaz, E.",Cornell University vs Georgetown University,,,5,,"Tonas, A.","Diaz, E.",T9,6-7,1B,2,2,1,Ball,Fastball,0,,,,T,1,9,2
3,59,"Tonas, A. VS Diaz, E.",Cornell University vs Georgetown University,,,5,,"Tonas, A.","Diaz, E.",T9,6-7,1B,2,3,1,Strike Taken,Fastball,0,,,,T,1,9,2
3,60,"Tonas, A. VS Diaz, E.",Cornell University vs Georgetown University,,,5,,"Tonas, A.","Diaz, E.",T9,6-7,1B,2,3,2,Ball,Slider,0,,,Walk,T,1,9,2
3,61,"Tonas, A. VS Hollerbach, J.",Cornell University vs Georgetown University,,,5,,"Tonas, A.","Hollerbach, J.",T9,6-7,1B-2B,2,0,0,Ball,Fastball,0,,,,T,1,9,3
3,62,"Tonas, A. VS Hollerbach, J.",Cornell University vs Georgetown University,,,5,,"Tonas, A.","Hollerbach, J.",T9,6-7,1B-2B,2,1,0,Ball,Changeup,0,,,,T,1,9,3
3,63,"Tonas, A. VS Hollerbach, J.",Cornell University vs Georgetown University,,,5,,"Tonas, A.","Hollerbach, J.",T9,6-7,1B-2B,2,2,0,Foul,Slider,0,,,,T,1,9,3
3,64,"Tonas, A. VS Hollerbach, J.",Cornell University vs Georgetown University,,,15,,"Tonas, A.","Hollerbach, J.",T9,6-7,1B-2B,2,2,1,BIP,Fastball,0,Fly Ball,Double,,T,1,9,3
3,65,"Tonas, A. VS Flematti, A.",Cornell University vs Georgetown University,,,5,,"Tonas, A.","Flematti, A.",T9,8-7,2B,2,0,0,Ball,Changeup,0,,,,T,1,9,4
3,66,"Tonas, A. VS Flematti, A.",Cornell University vs Georgetown University,,,5,,"Tonas, A.","Flematti, A.",T9,8-7,2B,2,1,0,Foul,Fastball,0,,,,T,1,9,4
3,67,"Tonas, A. VS Flematti, A.",Cornell University vs Georgetown University,,,5,,"Tonas, A.","Flematti, A.",T9,8-7,2B,2,1,1,Strike Swinging,Changeup,0,,,,T,1,9,4
3,68,"Tonas, A. VS Flematti, A.",Cornell University vs Georgetown University,,,5,,"Tonas, A.","Flematti, A.",T9,8-7,2B,2,1,2,Ball,Slider,0,,,,T,1,9,4
3,69,"Tonas, A. VS Flematti, A.",Cornell University vs Georgetown University,,,6,,"Tonas, A.","Flematti, A.",T9,8-7,2B,2,2,2,BIP,Changeup,0,Line Drive,Lineout,,T,1,9,4
4,70,"Tonas, A. VS Orr, J.",Georgetown University vs University of Maryland-College Park,,,5,,"Tonas, A.","Orr, J.",B8,9-8,-,0,0,0,Strike Taken,Fastball,88,,,,B,0,8,1
4,71,"Tonas, A. VS Orr, J.",Georgetown University vs University of Maryland-College Park,,,5,,"Tonas, A.","Orr, J.",B8,9-8,-,0,0,1,Foul,Fastball,89,,,,B,0,8,1
4,72,"Tonas, A. VS Orr, J.",Georgetown University vs University of Maryland-College Park,,,11,,"Tonas, A.","Orr, J.",B8,9-8,-,0,0,2,BIP,Slider,80,Fly Ball,Flyout,,B,0,8,1
4,73,"Tonas, A. VS Grace, D.",Georgetown University vs University of Maryland-College Park,,,5,,"Tonas, A.","Grace, D.",B8,9-8,-,1,0,0,Ball,Fastball,89,,,,B,0,8,2
4,74,"Tonas, A. VS Grace, D.",Georgetown University vs University of Maryland-College Park,,,5,,"Tonas, A.","Grace, D.",B8,9-8,-,1,1,0,Ball,Fastball,89,,,,B,0,8,2
4,75,"Tonas, A. VS Grace, D.",Georgetown University vs University of Maryland-College Park,,,5,,"Tonas, A.","Grace, D.",B8,9-8,-,1,2,0,Ball,Changeup,82,,,,B,0,8,2
4,76,"Tonas, A. VS Grace, D.",Georgetown University vs University of Maryland-College Park,,,5,,"Tonas, A.","Grace, D.",B8,9-8,-,1,3,0,Strike Taken,Fastball,89,,,,B,0,8,2
4,77,"Tonas, A. VS Grace, D.",Georgetown University vs University of Maryland-College Park,,,5,,"Tonas, A.","Grace, D.",B8,9-8,-,1,3,1,Strike Taken,Fastball,88,,,,B,0,8,2
4,78,"Tonas, A. VS Grace, D.",Georgetown University vs University of Maryland-College Park,,,6,,"Tonas, A.","Grace, D.",B8,9-8,-,1,3,2,Strike Swinging,Fastball,89,,,Strikeout,B,0,8,2
4,79,"Tonas, A. VS Shliger, L.",Georgetown University vs University of Maryland-College Park,,,5,,"Tonas, A.","Shliger, L.",B8,9-8,-,2,0,0,Strike Taken,Fastball,88,,,,B,0,8,3
4,80,"Tonas, A. VS Shliger, L.",Georgetown University vs University of Maryland-College Park,,,5,,"Tonas, A.","Shliger, L.",B8,9-8,-,2,0,1,Strike Swinging,Slider,79,,,,B,0,8,3
4,81,"Tonas, A. VS Shliger, L.",Georgetown University vs University of Maryland-College Park,,,5,,"Tonas, A.","Shliger, L.",B8,9-8,-,2,0,2,Ball,Slider,78,,,,B,0,8,3
4,82,"Tonas, A. VS Shliger, L.",Georgetown University vs University of Maryland-College Park,,,5,,"Tonas, A.","Shliger, L.",B8,9-8,-,2,1,2,Ball,Fastball,87,,,,B,0,8,3
4,83,"Tonas, A. VS Shliger, L.",Georgetown University vs University of Maryland-College Park,,,7,,"Tonas, A.","Shliger, L.",B8,9-8,-,2,2,2,Foul,Slider,80,,,,B,0,8,3
4,84,"Tonas, A. VS Shliger, L.",Georgetown University vs University of Maryland-College Park,,,9,,"Tonas, A.","Shliger, L.",B8,9-8,-,2,2,2,BIP,Slider,79,Ground Ball,Groundout,,B,0,8,3
4,85,"Tonas, A. VS Alleyne, C.",Georgetown University vs University of Maryland-College Park,,,5,,"Tonas, A.","Alleyne, C.",B9,9-8,-,0,0,0,Ball,Slider,78,,,,B,0,9,4
4,86,"Tonas, A. VS Alleyne, C.",Georgetown University vs University of Maryland-College Park,,,10,,"Tonas, A.","Alleyne, C.",B9,9-8,-,0,1,0,BIP,Fastball,87,Ground Ball,Single,,B,0,9,4
4,87,"Tonas, A. VS Shaw, M.",Georgetown University vs University of Maryland-College Park,,,6,,"Tonas, A.","Shaw, M.",B9,9-8,1B,0,0,0,Ball,Changeup,81,,,,B,0,9,5
