outing_id,number,title,notes,tags,text_overlay,duration,date,pitcher,hitter,inning,score,runners_on_base,outs,balls,strikes,pitch_result,pitch_type,velocity_mph,bip_type,bip_result,non_bip_result,na,top_or_bottom_letter,top_of_frame,inning_num,pa_id
1,1,"Tonas, A. VS Walker, A.",Georgetown University vs Xavier University,,,00:00:05.8,,"Tonas, A.","Walker, A.",B6,7-6, - ,0,0,0,Foul,Fastball,0,"","",,,B,0,6,1
1,2,"Tonas, A. VS Walker, A.",Georgetown University vs Xavier University,,,00:00:05.4,,"Tonas, A.","Walker, A.",B6,7-6, - ,0,0,1,Foul,Fastball,0,"","",,,B,0,6,1
1,3,"Tonas, A. VS Walker, A.",Georgetown University vs Xavier University,,,00:00:05.7,,"Tonas, A.","Walker, A.",B6,7-6, - ,0,0,2,Foul,Fastball,0,"","",,,B,0,6,1
1,4,"Tonas, A. VS Walker, A.",Georgetown University vs Xavier University,,,00:00:05.1,,"Tonas, A.","Walker, A.",B6,7-6, - ,0,0,2,Ball,Fastball,0,"","",,,B,0,6,1
1,5,"Tonas, A. VS Walker, A.",Georgetown University vs Xavier University,,,00:00:05.5,,"Tonas, A.","Walker, A.",B6,7-6, - ,0,1,2,Ball,Slider,0,"","",,,B,0,6,1
1,6,"Tonas, A. VS Walker, A.",Georgetown University vs Xavier University,,,00:00:06.8,,"Tonas, A.","Walker, A.",B6,7-6, - ,0,2,2,Ball,Slider,0,"","",,,B,0,6,1
1,7,"Tonas, A. VS Walker, A.",Georgetown University vs Xavier University,,,00:00:13.7,,"Tonas, A.","Walker, A.",B6,7-6, - ,0,3,2,BIP,Fastball,0,Ground Ball,Single,,,B,0,6,1
1,8,"Tonas, A. VS Housinger, J.",Georgetown University vs Xavier University,,,00:00:05.5,,"Tonas, A.","Housinger, J.",B6,7-6,2B,0,0,0,Ball,Fastball,0,"","",,,B,0,6,2
1,9,"Tonas, A. VS Housinger, J.",Georgetown University vs Xavier University,,,00:00:05.1,,"Tonas, A.","Housinger, J.",B6,7-6,2B,0,1,0,Ball,Slider,0,"","",,,B,0,6,2
1,10,"Tonas, A. VS Housinger, J.",Georgetown University vs Xavier University,,,00:00:04.9,,"Tonas, A.","Housinger, J.",B6,7-6,2B,0,2,0,Strike Taken,Slider,0,"","",,,B,0,6,2
1,11,"Tonas, A. VS Housinger, J.",Georgetown University vs Xavier University,,,00:00:05.4,,"Tonas, A.","Housinger, J.",B6,7-6,2B,0,2,1,Strike Swinging,Fastball,0,"","",,,B,0,6,2
1,12,"Tonas, A. VS Housinger, J.",Georgetown University vs Xavier University,,,00:00:04.8,,"Tonas, A.","Housinger, J.",B6,7-6,2B,0,2,2,Ball,Fastball,0,"","",,,B,0,6,2
1,13,"Tonas, A. VS Housinger, J.",Georgetown University vs Xavier University,,,00:00:05.7,,"Tonas, A.","Housinger, J.",B6,7-6,2B,0,3,2,Foul,Slider,0,"","",,,B,0,6,2
1,14,"Tonas, A. VS Housinger, J.",Georgetown University vs Xavier University,,,00:00:04.8,,"Tonas, A.","Housinger, J.",B6,7-6,2B,0,3,2,Strike Taken,Changeup,0,"","",Strikeout,,B,0,6,2
1,15,"Tonas, A. VS Franzoni, L.",Georgetown University vs Xavier University,,,00:00:05.3,,"Tonas, A.","Franzoni, L.",B6,7-6,2B,1,0,0,Ball,Changeup,0,"","",,,B,0,6,3
