outing_id,number,title,notes,tags,text_overlay,duration,date,pitcher,hitter,inning,Away Score,Home Score,runners_on_base,outs,balls,strikes,pitch_result,pitch_type,velocity_mph,bip_type,bip_result,non_bip_result,na,top_or_bottom_letter,top_of_frame,inning_num,Away Team,Home Team,pitcherteam_score,pa_id,batting_order
1,1,"Jensen, C. VS Gale, W.",Georgetown University vs Seton Hall University,,,00:00:07.2,,"Jensen, C.","Gale, W.",B1,0,0, - ,0,0,0,Strike Taken,Fastball,90,"","",,,B,0,1,Georgetown University,Seton Hall University,0,1,1
1,2,"Jensen, C. VS Gale, W.",Georgetown University vs Seton Hall University,,,00:00:07.1,,"Jensen, C.","Gale, W.",B1,0,0, - ,0,0,1,Strike Taken,Fastball,88,"","",,,B,0,1,Georgetown University,Seton Hall University,0,1,1
1,3,"Jensen, C. VS Gale, W.",Georgetown University vs Seton Hall University,,,00:00:10.4,,"Jensen, C.","Gale, W.",B1,0,0, - ,0,0,2,BIP,Fastball,89,Ground Ball,Groundout,,,B,0,1,Georgetown University,Seton Hall University,0,1,1
1,4,"Jensen, C. VS Murray, O.",Georgetown University vs Seton Hall University,,,00:00:10.9,,"Jensen, C.","Murray, O.",B1,0,0, - ,1,0,0,BIP,Fastball,90,Ground Ball,Groundout,,,B,0,1,Georgetown University,Seton Hall University,0,2,2
1,5,"Jensen, C. VS Viera, M.",Georgetown University vs Seton Hall University,,,00:00:07.3,,"Jensen, C.","Viera, M.",B1,0,0, - ,2,0,0,Strike Taken,Fastball,91,"","",,,B,0,1,Georgetown University,Seton Hall University,0,3,3
1,6,"Jensen, C. VS Viera, M.",Georgetown University vs Seton Hall University,,,00:00:05.9,,"Jensen, C.","Viera, M.",B1,0,0, - ,2,0,1,Foul,Fastball,91,"","",,,B,0,1,Georgetown University,Seton Hall University,0,3,3
1,7,"Jensen, C. VS Viera, M.",Georgetown University vs Seton Hall University,,,00:00:06.8,,"Jensen, C.","Viera, M.",B1,0,0, - ,2,0,2,Ball,Fastball,87,"","",,,B,0,1,Georgetown University,Seton Hall University,0,3,3
1,8,"Jensen, C. VS Viera, M.",Georgetown University vs Seton Hall University,,,00:00:06.8,,"Jensen, C.","Viera, M.",B1,0,0, - ,2,1,2,Ball,Slider,80,"","",,,B,0,1,Georgetown University,Seton Hall University,0,3,3
1,9,"Jensen, C. VS Viera, M.",Georgetown University vs Seton Hall University,,,00:00:13.6,,"Jensen, C.","Viera, M.",B1,0,0, - ,2,2,2,BIP,Slider,80,Ground Ball,Double,,,B,0,1,Georgetown University,Seton Hall University,0,3,3
1,10,"Jensen, C. VS D'amico, P.",Georgetown University vs Seton Hall University,,,00:00:07.2,,"Jensen, C.","D'amico, P.",B1,0,0,2B,2,0,0,Strike Taken,Fastball,88,"","",,,B,0,1,Georgetown University,Seton Hall University,0,4,4
