outing_id,number,title,notes,tags,text_overlay,duration,date,pitcher,hitter,inning,Away Score,Home Score,runners_on_base,outs,balls,strikes,pitch_result,pitch_type,velocity_mph,bip_type,bip_result,non_bip_result,top_or_bottom_letter,top_of_frame,inning_num,Away Team,Home Team,pitcherteam_score,pa_id,batting_order
1,1758,"Head, A. VS Huber, B.",Georgetown University vs University of Connecticut,,,00:00:07.4,,"Head, A.","Huber, B.",B7,1,6,1B-2B,0,0,0,Ball,Changeup,77,"","",,B,0,7,Georgetown University,University of Connecticut,1,1,1
1,1759,"Head, A. VS Huber, B.",Georgetown University vs University of Connecticut,,,00:00:07.6,,"Head, A.","Huber, B.",B7,1,6,2B-3B,0,1,0,Foul,Changeup,79,"","",,B,0,7,Georgetown University,University of Connecticut,1,1,1
1,1760,"Head, A. VS Huber, B.",Georgetown University vs University of Connecticut,,,00:00:05.3,,"Head, A.","Huber, B.",B7,1,6,2B-3B,0,1,1,Ball,Curveball,70,"","",,B,0,7,Georgetown University,University of Connecticut,1,1,1
1,1761,"Head, A. VS Huber, B.",Georgetown University vs University of Connecticut,,,00:00:05.3,,"Head, A.","Huber, B.",B7,1,6,2B-3B,0,2,1,Ball,Changeup,78,"","",,B,0,7,Georgetown University,University of Connecticut,1,1,1
1,1762,"Head, A. VS Huber, B.",Georgetown University vs University of Connecticut,,,00:00:16.5,,"Head, A.","Huber, B.",B7,1,6,2B-3B,0,3,1,BIP,Changeup,78,Fly Ball,Double,,B,0,7,Georgetown University,University of Connecticut,1,1,1
1,1763,"Head, A. VS Studley, J.",Georgetown University vs University of Connecticut,,,00:00:08.7,,"Head, A.","Studley, J.",B7,1,8,2B,0,0,0,Ball,Fastball,87,"","",,B,0,7,Georgetown University,University of Connecticut,1,2,2
1,1764,"Head, A. VS Studley, J.",Georgetown University vs University of Connecticut,,,00:00:06.1,,"Head, A.","Studley, J.",B7,1,8,3B,0,1,0,Foul,Fastball,87,"","",,B,0,7,Georgetown University,University of Connecticut,1,2,2
1,1765,"Head, A. VS Studley, J.",Georgetown University vs University of Connecticut,,,00:00:05.5,,"Head, A.","Studley, J.",B7,1,8,3B,0,1,1,Strike Taken,Fastball,86,"","",,B,0,7,Georgetown University,University of Connecticut,1,2,2
1,1766,"Head, A. VS Studley, J.",Georgetown University vs University of Connecticut,,,00:00:05.8,,"Head, A.","Studley, J.",B7,1,8,3B,0,1,2,Ball,Changeup,81,"","",,B,0,7,Georgetown University,University of Connecticut,1,2,2
1,1767,"Head, A. VS Studley, J.",Georgetown University vs University of Connecticut,,,00:00:06.2,,"Head, A.","Studley, J.",B7,1,8,3B,0,2,2,Ball,Changeup,80,"","",,B,0,7,Georgetown University,University of Connecticut,1,2,2
