outing_id,number,title,notes,tags,text_overlay,duration,date,pitcher,hitter,inning,Away Score,Home Score,runners_on_base,outs,balls,strikes,pitch_result,pitch_type,velocity_mph,bip_type,bip_result,non_bip_result,na,top_or_bottom_letter,top_of_frame,inning_num,Away Team,Home Team,pitcherteam_score,pa_id
1,1,"Head, A. VS Nicolas, B.",Coppin State University vs Georgetown University,,,00:00:05.1,,"Head, A.","Nicolas, B.",T7,0,6, - ,0,0,0,Ball,Fastball,85,"","",,,T,1,7,Coppin State University,Georgetown University,6,1
1,2,"Head, A. VS Nicolas, B.",Coppin State University vs Georgetown University,,,00:00:06.1,,"Head, A.","Nicolas, B.",T7,0,6, - ,0,1,0,Foul,Fastball,85,"","",,,T,1,7,Coppin State University,Georgetown University,6,1
1,3,"Head, A. VS Nicolas, B.",Coppin State University vs Georgetown University,,,00:00:05.1,,"Head, A.","Nicolas, B.",T7,0,6, - ,0,1,1,Ball,Fastball,84,"","",,,T,1,7,Coppin State University,Georgetown University,6,1
1,4,"Head, A. VS Nicolas, B.",Coppin State University vs Georgetown University,,,00:00:05.2,,"Head, A.","Nicolas, B.",T7,0,6, - ,0,2,1,Strike Taken,Fastball,85,"","",,,T,1,7,Coppin State University,Georgetown University,6,1
1,5,"Head, A. VS Nicolas, B.",Coppin State University vs Georgetown University,,,00:00:05.6,,"Head, A.","Nicolas, B.",T7,0,6, - ,0,2,2,Strike Swinging,Changeup,78,"","",Strikeout,,T,1,7,Coppin State University,Georgetown University,6,1
1,6,"Head, A. VS Hilton, B.",Coppin State University vs Georgetown University,,,00:00:05.1,,"Head, A.","Hilton, B.",T7,0,6, - ,1,0,0,Ball,Fastball,85,"","",,,T,1,7,Coppin State University,Georgetown University,6,2
1,7,"Head, A. VS Hilton, B.",Coppin State University vs Georgetown University,,,00:00:08.3,,"Head, A.","Hilton, B.",T7,0,6, - ,1,1,0,BIP,Fastball,85,Ground Ball,Groundout,,,T,1,7,Coppin State University,Georgetown University,6,2
2,8,"Head, A. VS Stallings, B.",Georgetown University vs George Mason University,,,00:00:05.3,,"Head, A.","Stallings, B.",B5,5,4,1B-3B,1,0,0,Strike Taken,Fastball,85,"","",,,B,0,5,Georgetown University,George Mason University,5,1
2,9,"Head, A. VS Stallings, B.",Georgetown University vs George Mason University,,,00:00:13.6,,"Head, A.","Stallings, B.",B5,5,4,1B-3B,1,0,1,BIP,Changeup,80,Fly Ball,Field Error,,,B,0,5,Georgetown University,George Mason University,5,1
2,10,"Head, A. VS Smith, J.",Georgetown University vs George Mason University,,,00:00:08.9,,"Head, A.","Smith, J.",B5,5,5,1B-2B,1,0,0,Strike Swinging,Fastball,85,"","",,,B,0,5,Georgetown University,George Mason University,5,2
2,11,"Head, A. VS Smith, J.",Georgetown University vs George Mason University,,,00:00:05.3,,"Head, A.","Smith, J.",B5,5,5,1B-2B,1,0,1,Ball,Fastball,85,"","",,,B,0,5,Georgetown University,George Mason University,5,2
2,12,"Head, A. VS Smith, J.",Georgetown University vs George Mason University,,,00:00:05.1,,"Head, A.","Smith, J.",B5,5,5,1B-2B,1,1,1,Ball,Fastball,87,"","",,,B,0,5,Georgetown University,George Mason University,5,2
2,13,"Head, A. VS Smith, J.",Georgetown University vs George Mason University,,,00:00:06.1,,"Head, A.","Smith, J.",B5,5,5,1B-2B,1,3,1,Foul,Fastball,85,"","",,,B,0,5,Georgetown University,George Mason University,5,2
2,14,"Head, A. VS Smith, J.",Georgetown University vs George Mason University,,,00:00:05.5,,"Head, A.","Smith, J.",B5,5,5,1B-2B,1,3,2,Foul,Changeup,78,"","",,,B,0,5,Georgetown University,George Mason University,5,2
2,15,"Head, A. VS Smith, J.",Georgetown University vs George Mason University,,,00:00:06.7,,"Head, A.","Smith, J.",B5,5,5,1B-2B,1,3,2,Ball,Changeup,79,"","",Walk,,B,0,5,Georgetown University,George Mason University,5,2
2,16,"Head, A. VS Trotta, M.",Georgetown University vs George Mason University,,,00:00:13.2,,"Head, A.","Trotta, M.",B5,5,5,1B-2B-3B,1,0,0,BIP,Fastball,87,Line Drive,Sacrifice Fly,,,B,0,5,Georgetown University,George Mason University,5,3
2,17,"Head, A. VS Archibald, R.",Georgetown University vs George Mason University,,,00:00:06.9,,"Head, A.","Archibald, R.",B5,5,6,1B-3B,2,0,0,Ball,Changeup,76,"","",,,B,0,5,Georgetown University,George Mason University,5,4
2,18,"Head, A. VS Archibald, R.",Georgetown University vs George Mason University,,,00:00:05.4,,"Head, A.","Archibald, R.",B5,5,6,2B-3B,2,1,0,Ball,Fastball,85,"","",,,B,0,5,Georgetown University,George Mason University,5,4
2,19,"Head, A. VS Archibald, R.",Georgetown University vs George Mason University,,,00:00:05.6,,"Head, A.","Archibald, R.",B5,5,6,2B-3B,2,2,0,Ball,Changeup,78,"","",,,B,0,5,Georgetown University,George Mason University,5,4
2,20,"Head, A. VS Archibald, R.",Georgetown University vs George Mason University,,,00:00:05.6,,"Head, A.","Archibald, R.",B5,5,6,2B-3B,2,3,0,Ball,Fastball,87,"","",Walk,,B,0,5,Georgetown University,George Mason University,5,4
3,21,"Head, A. VS Burns, C.",Long Beach State University vs Georgetown University,,,00:00:05.0,,"Head, A.","Burns, C.",T3,14,2,1B,2,0,0,Strike Taken,Fastball,86,"","",,,T,1,3,Long Beach State University,Georgetown University,2,1
3,22,"Head, A. VS Burns, C.",Long Beach State University vs Georgetown University,,,00:00:04.8,,"Head, A.","Burns, C.",T3,14,2,1B,2,0,1,Ball,Pitchout,74,"","",,,T,1,3,Long Beach State University,Georgetown University,2,1
