X.,Title,Notes,Tags,Text.Overlay,Duration,Date,Pitcher,Hitter,Inning,Score,Runners.On.Base,Outs,Count,Pitch.Result,Pitch.Type,Velocity..MPH.,BIP.Type,BIP.Result,Non.BIP.Result
"Jensen, C. VS Diggs, K.",University of Arkansas vs Stanford University,,,00:00:05.2,,"Jensen, C.","Diggs, K.",T9,17-2,2B,2,1-2,Foul,Changeup,80,"","","",
"Jensen, C. VS Diggs, K.",University of Arkansas vs Stanford University,,,00:00:07.4,,"Jensen, C.","Diggs, K.",T9,17-2,2B,2,1-2,Foul,Changeup,80,"","","",
"Jensen, C. VS Diggs, K.",University of Arkansas vs Stanford University,,,00:00:05.2,,"Jensen, C.","Diggs, K.",T9,17-2,2B,2,1-2,Strike Swinging,Fastball,88,"","",Strikeout,
"Jensen, C. VS Morton, K.",University of Connecticut vs Stanford University,,,00:00:08.4,,"Jensen, C.","Morton, K.",T8,11-6, - ,0,0-0,Ball,Fastball,0,"","",Hit By Pitch,
"Jensen, C. VS Simmons, T.",University of Connecticut vs Stanford University,,,00:00:05.3,,"Jensen, C.","Simmons, T.",T8,11-6,1B,0,0-0,Strike Taken,Fastball,0,"","","",
"Jensen, C. VS Simmons, T.",University of Connecticut vs Stanford University,,,00:00:05.6,,"Jensen, C.","Simmons, T.",T8,11-6,1B,0,0-1,Ball,Changeup,0,"","","",
"Jensen, C. VS Simmons, T.",University of Connecticut vs Stanford University,,,00:00:05.4,,"Jensen, C.","Simmons, T.",T8,11-6,1B,0,1-1,Strike Taken,Fastball,0,"","","",
"Jensen, C. VS Simmons, T.",University of Connecticut vs Stanford University,,,00:00:05.5,,"Jensen, C.","Simmons, T.",T8,11-6,1B,0,1-2,Ball,Fastball,0,"","","",
"Jensen, C. VS Simmons, T.",University of Connecticut vs Stanford University,,,00:00:06.1,,"Jensen, C.","Simmons, T.",T8,11-6,1B,0,2-2,Ball,Changeup,0,"","","",
"Jensen, C. VS Simmons, T.",University of Connecticut vs Stanford University,,,00:00:08.8,,"Jensen, C.","Simmons, T.",T8,11-6,1B,0,3-2,Strike Swinging,Changeup,0,"","",Strikeout,
"Jensen, C. VS Donlan, M.",University of Connecticut vs Stanford University,,,00:00:05.4,,"Jensen, C.","Donlan, M.",T8,11-6,2B,1,0-0,Strike Taken,Fastball,0,"","","",
"Jensen, C. VS Donlan, M.",University of Connecticut vs Stanford University,,,00:00:06.6,,"Jensen, C.","Donlan, M.",T8,11-6,2B,1,0-1,Strike Swinging,Slider,0,"","","",
"Jensen, C. VS Donlan, M.",University of Connecticut vs Stanford University,,,00:00:10.2,,"Jensen, C.","Donlan, M.",T8,11-6,2B,1,0-2,Strike Swinging,Slider,0,"","",Strikeout,
"Jensen, C. VS Bushling, Z.",University of Connecticut vs Stanford University,,,00:00:06.4,,"Jensen, C.","Bushling, Z.",T8,11-6,2B,2,0-0,Foul,Fastball,0,"","","",
"Jensen, C. VS Bushling, Z.",University of Connecticut vs Stanford University,,,00:00:06.8,,"Jensen, C.","Bushling, Z.",T8,11-6,2B,2,0-1,Ball,Changeup,0,"","","",
"Jensen, C. VS Bushling, Z.",University of Connecticut vs Stanford University,,,00:00:11.6,,"Jensen, C.","Bushling, Z.",T8,11-6,2B,2,1-1,BIP,Changeup,0,Ground Ball,Groundout,"",
"Jensen, C. VS Smith, D.",University of Connecticut vs Stanford University,,,00:00:05.3,,"Jensen, C.","Smith, D.",T9,11-6, - ,0,0-0,Strike Taken,Fastball,0,"","","",
