outing_id,number,title,notes,tags,text_overlay,duration,date,pitcher,hitter,inning,Away Score,Home Score,runners_on_base,outs,balls,strikes,pitch_result,pitch_type,velocity_mph,bip_type,bip_result,non_bip_result,na,top_or_bottom_letter,top_of_frame,inning_num,gtown_score,pa_id
13,331,"Tonas, A. VS Reiner, W.",Villanova University vs Georgetown University,,,00:00:05.7,,"Tonas, A.","Reiner, W.",T9,5,2,2B-3B,2,0,0,Ball,Fastball,0,"","",,,T,1,9,2,9
13,332,"Tonas, A. VS Reiner, W.",Villanova University vs Georgetown University,,,00:00:07.5,,"Tonas, A.","Reiner, W.",T9,5,2,2B-3B,2,1,0,Foul,Slider,0,"","",,,T,1,9,2,9
13,333,"Tonas, A. VS Reiner, W.",Villanova University vs Georgetown University,,,00:00:05.6,,"Tonas, A.","Reiner, W.",T9,5,2,2B-3B,2,1,1,Strike Taken,Fastball,0,"","",,,T,1,9,2,9
13,334,"Tonas, A. VS Reiner, W.",Villanova University vs Georgetown University,,,00:00:06.3,,"Tonas, A.","Reiner, W.",T9,5,2,2B-3B,2,1,2,Ball,Slider,0,"","",,,T,1,9,2,9
13,335,"Tonas, A. VS Reiner, W.",Villanova University vs Georgetown University,,,00:00:07.1,,"Tonas, A.","Reiner, W.",T9,5,2,2B-3B,2,2,2,Foul,Slider,0,"","",,,T,1,9,2,9
13,336,"Tonas, A. VS Reiner, W.",Villanova University vs Georgetown University,,,00:00:06.3,,"Tonas, A.","Reiner, W.",T9,5,2,2B-3B,2,2,2,Ball,Slider,0,"","",,,T,1,9,2,9
13,337,"Tonas, A. VS Reiner, W.",Villanova University vs Georgetown University,,,00:00:10.6,,"Tonas, A.","Reiner, W.",T9,5,2,2B-3B,2,3,2,BIP,Fastball,0,Ground Ball,Groundout,,,T,1,9,2,9
14,338,"Tonas, A. VS Ludowig, M.",Georgetown University vs George Washington University,,,00:00:11.9,,"Tonas, A.","Ludowig, M.",B7,7,7,1B-2B-3B,2,0,0,BIP,Slider,76,Line Drive,Single,,,B,0,7,7,1
14,339,"Tonas, A. VS Biancone, J.",Georgetown University vs George Washington University,,,00:00:04.7,,"Tonas, A.","Biancone, J.",B7,7,8,1B-2B-3B,2,0,0,Strike Taken,Changeup,80,"","",,,B,0,7,7,2
14,340,"Tonas, A. VS Biancone, J.",Georgetown University vs George Washington University,,,00:00:04.9,,"Tonas, A.","Biancone, J.",B7,7,8,1B-2B-3B,2,0,1,Ball,Fastball,83,"","",,,B,0,7,7,2
14,341,"Tonas, A. VS Biancone, J.",Georgetown University vs George Washington University,,,00:00:04.7,,"Tonas, A.","Biancone, J.",B7,7,8,1B-2B-3B,2,1,1,Foul,Slider,77,"","",,,B,0,7,7,2
14,342,"Tonas, A. VS Biancone, J.",Georgetown University vs George Washington University,,,00:00:04.6,,"Tonas, A.","Biancone, J.",B7,7,8,1B-2B-3B,2,1,2,Foul,Fastball,82,"","",,,B,0,7,7,2
14,343,"Tonas, A. VS Biancone, J.",Georgetown University vs George Washington University,,,00:00:06.4,,"Tonas, A.","Biancone, J.",B7,7,8,1B-2B-3B,2,1,2,Ball,Changeup,0,"","",,,B,0,7,7,2
14,344,"Tonas, A. VS Biancone, J.",Georgetown University vs George Washington University,,,00:00:04.9,,"Tonas, A.","Biancone, J.",B7,7,8,1B-2B-3B,2,2,2,Strike Taken,Slider,0,"","",Strikeout,,B,0,7,7,2
14,345,"Tonas, A. VS Acker, T.",Georgetown University vs George Washington University,,,00:00:04.8,,"Tonas, A.","Acker, T.",B8,7,8, - ,0,0,0,Ball,Fastball,85,"","",,,B,0,8,7,3
14,346,"Tonas, A. VS Acker, T.",Georgetown University vs George Washington University,,,00:00:04.5,,"Tonas, A.","Acker, T.",B8,7,8, - ,0,1,0,Foul,Fastball,83,"","",,,B,0,8,7,3
14,347,"Tonas, A. VS Acker, T.",Georgetown University vs George Washington University,,,00:00:09.4,,"Tonas, A.","Acker, T.",B8,7,8, - ,0,1,1,BIP,Slider,77,Ground Ball,Single,,,B,0,8,7,3
14,348,"Tonas, A. VS Fergus, C.",Georgetown University vs George Washington University,,,00:00:04.9,,"Tonas, A.","Fergus, C.",B8,7,8, - ,1,0,0,Strike Taken,Fastball,83,"","",,,B,0,8,7,4
14,349,"Tonas, A. VS Fergus, C.",Georgetown University vs George Washington University,,,00:00:04.5,,"Tonas, A.","Fergus, C.",B8,7,8, - ,1,0,1,Ball,Fastball,85,"","",,,B,0,8,7,4
14,350,"Tonas, A. VS Fergus, C.",Georgetown University vs George Washington University,,,00:00:05.4,,"Tonas, A.","Fergus, C.",B8,7,8, - ,1,1,1,Strike Swinging,Changeup,78,"","",,,B,0,8,7,4
14,351,"Tonas, A. VS Fergus, C.",Georgetown University vs George Washington University,,,00:00:05.1,,"Tonas, A.","Fergus, C.",B8,7,8, - ,1,1,2,Ball,Fastball,87,"","",,,B,0,8,7,4
14,352,"Tonas, A. VS Fergus, C.",Georgetown University vs George Washington University,,,00:00:15.3,,"Tonas, A.","Fergus, C.",B8,7,8, - ,1,2,2,BIP,Slider,0,Line Drive,Double,,,B,0,8,7,4
14,353,"Tonas, A. VS DiTomaso, S.",Georgetown University vs George Washington University,,,00:00:05.1,,"Tonas, A.","DiTomaso, S.",B8,7,8,2B,1,0,0,Strike Taken,Slider,78,"","",,,B,0,8,7,5
14,354,"Tonas, A. VS DiTomaso, S.",Georgetown University vs George Washington University,,,00:00:14.3,,"Tonas, A.","DiTomaso, S.",B8,7,8,2B,1,0,1,BIP,Fastball,87,Fly Ball,Single,,,B,0,8,7,5
14,355,"Tonas, A. VS Levin, N.",Georgetown University vs George Washington University,,,00:00:04.7,,"Tonas, A.","Levin, N.",B8,7,9,1B,1,0,0,Strike Taken,Fastball,86,"","",,,B,0,8,7,6
14,356,"Tonas, A. VS Levin, N.",Georgetown University vs George Washington University,,,00:00:04.9,,"Tonas, A.","Levin, N.",B8,7,9,1B,1,0,1,Ball,Changeup,0,"","",,,B,0,8,7,6
14,357,"Tonas, A. VS Levin, N.",Georgetown University vs George Washington University,,,00:00:04.8,,"Tonas, A.","Levin, N.",B8,7,9,1B,1,1,1,Strike Taken,Fastball,0,"","",,,B,0,8,7,6
14,358,"Tonas, A. VS Levin, N.",Georgetown University vs George Washington University,,,00:00:04.7,,"Tonas, A.","Levin, N.",B8,7,9,1B,1,1,2,Foul,Slider,0,"","",,,B,0,8,7,6
14,359,"Tonas, A. VS Levin, N.",Georgetown University vs George Washington University,,,00:00:04.8,,"Tonas, A.","Levin, N.",B8,7,9,1B,1,1,2,Ball,Changeup,77,"","",,,B,0,8,7,6
14,360,"Tonas, A. VS Levin, N.",Georgetown University vs George Washington University,,,00:00:05.2,,"Tonas, A.","Levin, N.",B8,7,9,1B,1,2,2,Strike Swinging,Slider,77,"","",Strikeout,,B,0,8,7,6
14,361,"Tonas, A. VS Frechette, A.",Georgetown University vs George Washington University,,,00:00:04.6,,"Tonas, A.","Frechette, A.",B8,7,9,1B,2,0,0,Ball,Fastball,87,"","",,,B,0,8,7,7
14,362,"Tonas, A. VS Frechette, A.",Georgetown University vs George Washington University,,,00:00:05.8,,"Tonas, A.","Frechette, A.",B8,7,9,1B,2,1,0,Ball,Slider,80,"","",,,B,0,8,7,7
14,363,"Tonas, A. VS Frechette, A.",Georgetown University vs George Washington University,,,00:00:16.5,,"Tonas, A.","Frechette, A.",B8,7,9,1B,2,2,0,BIP,Slider,81,Fly Ball,Double,,,B,0,8,7,7
14,364,"Tonas, A. VS Ripp, D.",Georgetown University vs George Washington University,,,00:00:04.3,,"Tonas, A.","Ripp, D.",B8,7,10,2B,2,0,0,Foul,Slider,78,"","",,,B,0,8,7,8
14,365,"Tonas, A. VS Ripp, D.",Georgetown University vs George Washington University,,,00:00:04.9,,"Tonas, A.","Ripp, D.",B8,7,10,2B,2,0,1,Ball,Fastball,85,"","",,,B,0,8,7,8
14,366,"Tonas, A. VS Ripp, D.",Georgetown University vs George Washington University,,,00:00:16.4,,"Tonas, A.","Ripp, D.",B8,7,10,2B,2,1,1,BIP,Fastball,87,Line Drive,Double,,,B,0,8,7,8
15,367,"Tonas, A. VS Cook, B.",Virginia Military Institute vs Georgetown University,,,00:00:05.1,,"Tonas, A.","Cook, B.",T9,5,9, - ,0,0,0,Ball,Fastball,86,"","",,,T,1,9,9,1
15,368,"Tonas, A. VS Cook, B.",Virginia Military Institute vs Georgetown University,,,00:00:05.3,,"Tonas, A.","Cook, B.",T9,5,9, - ,0,1,0,Ball,Fastball,86,"","",,,T,1,9,9,1
15,369,"Tonas, A. VS Cook, B.",Virginia Military Institute vs Georgetown University,,,00:00:04.9,,"Tonas, A.","Cook, B.",T9,5,9, - ,0,2,0,Strike Swinging,Fastball,88,"","",,,T,1,9,9,1
15,370,"Tonas, A. VS Cook, B.",Virginia Military Institute vs Georgetown University,,,00:00:06.3,,"Tonas, A.","Cook, B.",T9,5,9, - ,0,2,1,Ball,Fastball,86,"","",,,T,1,9,9,1
15,371,"Tonas, A. VS Cook, B.",Virginia Military Institute vs Georgetown University,,,00:00:09.7,,"Tonas, A.","Cook, B.",T9,5,9, - ,0,3,1,BIP,Fastball,87,Fly Ball,Flyout,,,T,1,9,9,1
15,372,"Tonas, A. VS Starke, J.",Virginia Military Institute vs Georgetown University,,,00:00:05.0,,"Tonas, A.","Starke, J.",T9,5,9, - ,1,0,0,Strike Taken,Slider,77,"","",,,T,1,9,9,2
15,373,"Tonas, A. VS Starke, J.",Virginia Military Institute vs Georgetown University,,,00:00:06.7,,"Tonas, A.","Starke, J.",T9,5,9, - ,1,0,1,Strike Swinging,Slider,77,"","",,,T,1,9,9,2
15,374,"Tonas, A. VS Starke, J.",Virginia Military Institute vs Georgetown University,,,00:00:04.8,,"Tonas, A.","Starke, J.",T9,5,9, - ,1,0,2,Ball,Fastball,86,"","",,,T,1,9,9,2
